РЕЦЕПТЫ МИКРОВОЛНОВКИ И КУХНИ
Читать так: блюдо ← ингредиенты, время в секундах.
FoodPizzaMargherita ← FoodDoughFlat 1 + FoodCheeseSlice 1 + FoodTomato 4   [30 с, группа Pizza]
FoodPizzaMushroom ← FoodDoughFlat 1 + FoodMushroom 5   [30 с, группа Pizza]
FoodPizzaMeat ← FoodDoughFlat 1 + FoodMeat 3 + FoodCheeseSlice 1 + FoodTomato 1   [30 с, группа Pizza]
FoodPizzaVegetable ← FoodDoughFlat 1 + FoodEggplant 1 + FoodCarrot 1 + FoodCorn 1 + FoodTomato 1   [30 с, группа Pizza]
FoodPizzaPineapple ← FoodDoughFlat 1 + FoodMeatChickenCutlet 3 + FoodPineappleSlice 5   [30 с, группа Pizza]
FoodPizzaDank ← FoodDoughFlat 1 + LeavesCannabis 2 + FoodCheeseSlice 1 + FoodTomato 1   [30 с, группа Pizza]
FoodPizzaDonkpocket ← FoodDoughFlat 1 + FoodDonkpocketWarm 3 + FoodCheeseSlice 1 + FoodTomato 1   [30 с, группа Pizza]
FoodPizzaUranium ← FoodDoughFlat 1 + FoodChiliPepper 2 + FoodTomato 2 + SheetUranium1 2   [30 с, группа Pizza]
FoodPizzaCotton ← FoodDoughCottonFlat 1 + CottonBol 4   [30 с, группа Moth]
FoodPizzaWorldpeas ← FoodDoughFlat 1 + FoodWorldPeas 3   [30 с, группа —]
FoodNoodlesBoiled ← Flour 15 + Egg 6 + OilOlive 5   [15 с, группа Pasta]
FoodNoodles ← FoodNoodlesBoiled 1 + FoodTomato 2   [10 с, группа Pasta]
FoodNoodlesMeatball ← FoodNoodlesBoiled 1 + FoodMeatMeatball 1   [10 с, группа Pasta]
FoodNoodlesButter ← FoodNoodlesBoiled 1 + FoodButterSlice 2   [10 с, группа Pasta]
FoodNoodlesChowmein ← FoodNoodlesBoiled 1 + FoodEggplant 1 + FoodCarrot 1 + FoodCorn 1 + Egg 6   [10 с, группа Pasta]
FoodOatmeal ← FoodBowlBig 1 + Oats 20 + Water 20   [15 с, группа Savory]
FoodRiceBoiled ← FoodBowlBig 1 + Rice 20 + Water 20   [15 с, группа Savory]
FoodRicePudding ← FoodBowlBig 1 + Rice 10 + Milk 30 + Egg 6 + Sugar 5   [15 с, группа Dessert]
FoodRicePork ← FoodRiceBoiled 1 + FoodMeatCutlet 3   [15 с, группа Savory]
FoodRiceGumbo ← FoodRiceBoiled 1 + FoodMeatCutlet 2 + FoodChiliPepper 2   [15 с, группа Savory]
FoodRiceEgg ← FoodRiceBoiled 1 + FoodCarrot 1 + Egg 6   [15 с, группа Savory]
FoodNoodlesCopy ← FoodNoodles 2 + FoodPlateSmall 2   [10 с, группа Pasta]
FoodSoupBisque ← FoodBowlBig 1 + FoodTomato 1 + FoodMushroom 1 + FoodMeatFish 1 + Water 10   [10 с, группа Soup]
FoodSoupMeatball ← FoodBowlBig 1 + FoodMeatMeatball 1 + FoodCarrot 1 + FoodPotato 1 + Water 20   [10 с, группа Soup]
FoodSoupNettle ← FoodBowlBig 1 + Nettle 1 + FoodAmbrosiaDeus 1 + FoodPotato 1 + Water 10 + Egg 6   [10 с, группа Soup]
FoodSoupEyeball ← FoodBowlBig 1 + OrganHumanEyes 1 + FoodCarrot 1 + FoodPotato 1 + Water 10   [10 с, группа Soup]
FoodJellyAmanita ← FoodFlyAmanita 3 + Water 5 + Vodka 5   [10 с, группа Savory]
FoodSoupOnion ← FoodBowlBig 1 + FoodOnionSlice 5 + FoodCheeseSlice 1 + Water 10   [10 с, группа Soup]
FoodSoupMushroom ← FoodBowlBig 1 + FoodMushroom 2 + Water 5 + Milk 5   [10 с, группа Soup]
FoodSoupStew ← FoodBowlBig 1 + FoodMeatCutlet 3 + FoodTomato 1 + FoodPotato 1 + FoodCarrot 1 + FoodEggplant 1 + FoodMushroom 1 + Water 10   [10 с, группа Soup]
FoodSoupTomato ← FoodBowlBig 1 + FoodTomato 2 + Water 10   [10 с, группа Soup]
FoodSoupTomatoBlood ← FoodBowlBig 1 + FoodBloodTomato 2 + Blood 10   [10 с, группа Soup]
FoodSoupWingFangChu ← FoodBowlBig 1 + FoodMeatXenoCutlet 5 + Soysauce 10   [10 с, группа Soup]
FoodSoupWingFangChu ← FoodBowlBig 1 + FoodMeatSpider 2 + Soysauce 5   [10 с, группа Soup]
FoodSoupVegetable ← FoodBowlBig 1 + FoodCorn 1 + FoodCarrot 1 + FoodPotato 1 + FoodEggplant 1 + Water 5   [10 с, группа Soup]
FoodSoupClown ← FoodBowlBig 1 + FoodBanana 1 + MaterialBananium 1 + ShardGlass 1 + Water 10   [10 с, группа Soup]
FoodSoupMonkey ← FoodBowlBig 1 + FoodBanana 1 + MonkeyCube 1 + Flour 5 + TableSalt 1 + Blackpepper 1   [10 с, группа Soup]
FoodSoupBungo ← FoodBowlBig 1 + FoodBungo 2 + FoodChiliPepper 1 + Water 5   [10 с, группа Soup]
FoodMeatSnailCooked ← MobSnail 1 + Water 10   [5 с, группа Savory]
FoodSoupEscargot ← FoodBowlBig 1 + FoodOnionSlice 1 + FoodGarlic 1 + FoodButterSlice 2 + FoodMeatSnailCooked 1 + Water 5   [10 с, группа Soup]
FoodPieAmanita ← FoodDoughPie 1 + FoodFlyAmanita 1 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieApple ← FoodDoughPie 1 + FoodApple 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieBaklava ← FoodDoughPie 1 + FoodSnackPistachios 1 + FoodPlateTin 1   [15 с, группа BarsAndCookies]
FoodPieBananaCream ← FoodDoughPie 1 + FoodBanana 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieClafoutis ← FoodDoughPie 1 + FoodBerries 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieCherry ← FoodDoughPie 1 + FoodCherry 5 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieFrosty ← FoodDoughPie 1 + FoodChillyPepper 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieMeat ← FoodDoughPie 1 + FoodMeat 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodPiePumpkin ← FoodDoughPie 1 + FoodPumpkin 1 + FoodPlateTin 1   [15 с, группа Pie]
FoodPieXeno ← FoodDoughPie 1 + FoodMeatXeno 3 + FoodPlateTin 1   [15 с, группа Pie]
FoodTartCoco ← FoodDoughPie 1 + FoodSnackChocolateBar 3 + FoodPlateTin 1 + Sugar 5 + Milk 5   [15 с, группа Pie]
FoodTartGapple ← FoodDoughPie 1 + FoodApple 2 + FoodPlateTin 1 + Gold 10 + Sugar 5 + Milk 5   [15 с, группа Pie]
FoodTartGrape ← FoodDoughPie 1 + FoodGrape 3 + FoodPlateTin 1 + Sugar 5 + Milk 5   [15 с, группа Pie]
FoodTartMime ← FoodDoughPie 1 + FoodMimana 3 + FoodPlateTin 1 + Sugar 5 + Milk 5   [15 с, группа Pie]
FoodMealCubancarp ← FoodDoughSlice 1 + FoodCheeseSlice 2 + FoodChiliPepper 1 + FoodMeatFish 2   [15 с, группа Savory]
FoodMealSashimi ← FoodMeatFish 1 + TableSalt 1   [15 с, группа Savory]
DisgustingSweptSoup ← FoodSoupMiso 1 + Cola 5   [15 с, группа Savory]
FoodMealPotatoLoaded ← FoodPotato 1 + FoodCheeseSlice 1   [15 с, группа Savory]
FoodMealFries ← FoodPotato 1 + TableSalt 2   [15 с, группа Savory]
FoodMealFriesCheesy ← FoodPotato 1 + FoodCheeseSlice 1 + TableSalt 2   [15 с, группа Savory]
FoodMealFriesCarrot ← FoodCarrot 1 + TableSalt 2   [15 с, группа Savory]
FoodMealNachos ← FoodDoughTortillaFlat 1 + FoodPlateSmall 1 + TableSalt 1   [10 с, группа Savory]
FoodMealNachosCheesy ← FoodCheeseSlice 1 + FoodDoughTortillaFlat 1 + FoodPlateSmall 1 + TableSalt 1   [10 с, группа Savory]
FoodMealNachosCuban ← FoodChiliPepper 1 + FoodDoughTortillaFlat 1 + FoodPlateSmall 1 + Ketchup 5   [10 с, группа Savory]
FoodSnackPopcorn ← FoodCorn 1   [20 с, группа Savory]
FoodBakedPancake ← Flour 5 + Milk 5 + Egg 6   [5 с, группа Breakfast]
FoodBakedPancakeBb ← FoodBerries 2 + Flour 5 + Milk 5 + Egg 6   [5 с, группа Breakfast]
FoodBakedWaffle ← Flour 5 + Milk 5 + Egg 6 + SodaWater 5   [10 с, группа Breakfast]
FoodBakedWaffleSoy ← Flour 5 + MilkSoy 5 + Egg 6 + SodaWater 5   [10 с, группа Breakfast]
FoodBakedCookie ← FoodButterSlice 1 + FoodSnackChocolateBar 1 + Flour 5 + Sugar 5   [5 с, группа BarsAndCookies]
FoodBakedCookieSugar ← FoodButterSlice 1 + Flour 5 + Sugar 10   [5 с, группа BarsAndCookies]
FoodBakedCookieRaisin ← FoodSnackRaisins 1 + Flour 5 + Sugar 5   [5 с, группа BarsAndCookies]
FoodBakedCookieOatmeal ← FoodButterSlice 1 + Oats 5 + Sugar 5   [5 с, группа BarsAndCookies]
FoodBakedPancakeCc ← FoodSnackChocolateBar 1 + Flour 5 + Milk 5 + Egg 6   [5 с, группа BarsAndCookies]
FoodCakeApple ← FoodCakePlain 1 + FoodApple 3   [5 с, группа Cake]
FoodCakeCarrot ← FoodCakePlain 1 + FoodCarrot 2   [5 с, группа Cake]
FoodCakeLemon ← FoodCakePlain 1 + FoodLemon 3   [5 с, группа Cake]
FoodCakeLemoon ← FoodCakePlain 1 + FoodLemoon 1 + FoodBerries 1   [5 с, группа Cake]
FoodCakeOrange ← FoodCakePlain 1 + FoodOrange 3   [5 с, группа Cake]
FoodCakeBlueberry ← FoodCakePlain 1 + FoodBerries 3   [5 с, группа Cake]
FoodCakeLime ← FoodCakePlain 1 + FoodLime 3   [5 с, группа Cake]
FoodCakeCheese ← FoodCakePlain 1 + FoodCheeseSlice 3 + Cream 10   [5 с, группа Cake]
FoodCakePumpkin ← FoodCakePlain 1 + FoodPumpkin 1   [5 с, группа Cake]
FoodCakeClown ← ClothingMaskClown 1 + FoodCakePlain 1   [5 с, группа Cake]
FoodCakePlain ← FoodCakeBatter 1   [15 с, группа Cake]
FoodCakeBirthday ← FoodCakePlain 1 + Cream 5   [5 с, группа Cake]
FoodCakeChocolate ← FoodCakePlain 1 + FoodSnackChocolateBar 2   [5 с, группа Cake]
FoodCakeBrain ← FoodCakePlain 1 + OrganHumanBrain 1   [15 с, группа Cake]
FoodCakeSlime ← FoodCakePlain 1 + Slime 15   [5 с, группа Cake]
MobCatCake ← FoodCakePlain 1 + FoodSnackRaisins 1 + OrganAnimalHeart 1 + Milk 15 + Cognizine 5   [15 с, группа Cake]
FoodCakeBerryDelight ← FoodCakeBlueberry 1 + FoodBerries 2 + Milk 10   [5 с, группа Cake]
MobBreadDog ← FoodBreadSausage 1 + OrganAnimalHeart 1 + FoodSpaceshroomCooked 1 + Cognizine 5   [15 с, группа Breads]
FoodBakedDumplings ← FoodDoughSlice 1 + Water 10 + UncookedAnimalProteins 2   [15 с, группа Savory]
FoodBakedBrownieBatch ← FoodButter 1 + FoodSnackChocolateBar 2 + Flour 15 + Sugar 30 + Egg 18   [25 с, группа BarsAndCookies]
FoodDonkpocketWarm ← FoodDonkpocket 1   [5 с, группа Savory]
FoodDonkpocketDankWarm ← FoodDonkpocketDank 1   [5 с, группа Savory]
FoodDonkpocketSpicyWarm ← FoodDonkpocketSpicy 1   [5 с, группа Savory]
FoodDonkpocketTeriyakiWarm ← FoodDonkpocketTeriyaki 1   [5 с, группа Savory]
FoodDonkpocketPizzaWarm ← FoodDonkpocketPizza 1   [5 с, группа Savory]
FoodDonkpocketHonkWarm ← FoodDonkpocketHonk 1   [5 с, группа Savory]
FoodDonkpocketBerryWarm ← FoodDonkpocketBerry 1   [5 с, группа Savory]
FoodDonkpocketStonkWarm ← FoodDonkpocketStonk 1   [5 с, группа Savory]
FoodDonkpocketCarpWarm ← FoodDonkpocketCarp 1   [5 с, группа Savory]
FoodDonkpocketMothWarm ← FoodDonkpocketMoth 1   [5 с, группа —]
FoodSoupChiliHot ← FoodBowlBig 1 + FoodChiliPepper 1 + FoodMeatCutlet 1 + FoodOnionSlice 1 + FoodTomato 1   [20 с, группа Soup]
FoodSoupChiliCold ← FoodSoupChiliHot 1 + FrostOil 10   [5 с, группа Soup]
FoodSoupClown ← FoodBowlBig 1 + FoodOnionSlice 1 + FoodTomato 1 + BikeHorn 1   [15 с, группа Soup]
FoodSoupChiliClown ← FoodBowlBig 1 + FoodChiliPepper 1 + FoodMeatCutlet 1 + FoodOnionSlice 1 + FoodTomato 1 + ClothingShoesClown 1   [30 с, группа Soup]
FoodMealQueso ← FoodChiliPepper 1 + FoodCheeseSlice 2   [15 с, группа Soup]
FoodMealRibs ← FoodMeat 2 + FoodKebabSkewer 1 + BbqSauce 10   [15 с, группа Savory]
FoodMealEnchiladas ← FoodChiliPepper 1 + FoodMeatCutlet 2 + FoodDoughTortillaFlat 1   [20 с, группа Savory]
FoodSaladHerb ← FoodBowlBig 1 + FoodAmbrosiaVulgaris 3 + FoodApple 1   [5 с, группа Salad]
FoodSaladValid ← FoodBowlBig 1 + FoodAmbrosiaVulgaris 2 + FoodPotato 1 + FoodMeatMeatball 1   [5 с, группа Salad]
FoodSaladColeslaw ← FoodBowlBig 1 + FoodOnionRed 2 + FoodCabbage 2 + Vinaigrette 5   [5 с, группа Salad]
FoodSaladCaesar ← FoodBowlBig 1 + FoodOnionRedSlice 1 + FoodBreadPlainSlice 1 + FoodCheeseSlice 1 + FoodCabbage 1 + OilOlive 5   [5 с, группа Salad]
FoodSaladCitrus ← FoodBowlBig 1 + FoodOrange 1 + FoodLemon 1 + FoodLime 1   [5 с, группа Salad]
FoodSaladKimchi ← FoodBowlBig 1 + FoodCarrot 1 + FoodCabbage 2 + FoodGarlic 1 + Vinegar 5   [5 с, группа Salad]
FoodSaladFruit ← FoodBowlBig 1 + FoodOrange 1 + FoodApple 1 + FoodGrape 1 + FoodWatermelonSlice 1   [5 с, группа Salad]
FoodSaladJungle ← FoodBowlBig 1 + FoodBanana 1 + FoodApple 1 + FoodGrape 1 + FoodWatermelonSlice 1   [5 с, группа Salad]
FoodSaladWatermelonFruitBowl ← FoodWatermelon 1 + FoodApple 1 + FoodBanana 1 + FoodLemon 1 + FoodOrange 1 + FoodAmbrosiaVulgaris 1   [5 с, группа Salad]
FoodBakedMuffin ← FoodPlateMuffinTin 1 + FoodDoughSlice 1 + Sugar 10   [15 с, группа Dessert]
FoodBakedMuffinChocolate ← FoodPlateMuffinTin 1 + FoodDoughSlice 1 + FoodSnackChocolateBar 1 + Sugar 10   [15 с, группа Dessert]
FoodBakedMuffinBerry ← FoodPlateMuffinTin 1 + FoodDoughSlice 1 + FoodBerries 1 + Sugar 10   [15 с, группа Dessert]
FoodBakedMuffinBanana ← FoodPlateMuffinTin 1 + FoodDoughSlice 1 + FoodBanana 1 + Sugar 10   [15 с, группа Dessert]
FoodBakedMuffinCherry ← FoodPlateMuffinTin 1 + FoodDoughSlice 1 + FoodCherry 3 + Sugar 10   [15 с, группа Dessert]
LeavesTeaDried ← LeavesTea 1   [10 с, группа —]
LeavesTobaccoDried ← LeavesTobacco 1   [10 с, группа Medicinal]
LeavesCannabisDried ← LeavesCannabis 1   [10 с, группа Medicinal]
LeavesCannabisRainbowDried ← LeavesCannabisRainbow 1   [10 с, группа Medicinal]
TrashBakedBananaPeel ← TrashBananaPeel 1   [5 с, группа —]
FoodCakeSuppermatter ← FoodCakeBatter 2 + Sugar 30 + Nitrogen 10 + Plasma 10   [30 с, группа —]
FoodBakedChevreChaud ← FoodChevreSlice 1 + FoodBreadBaguetteSlice 1   [5 с, группа Savory]
FoodBakedChevreChaudCotton ← FoodChevreSlice 1 + FoodBreadBaguetteCottonSlice 1   [5 с, группа Moth]
FoodCannabisButter ← FoodButter 1 + LeavesCannabis 1   [15 с, группа —]
FoodBakedCannabisBrownieBatch ← FoodCannabisButter 1 + FoodSnackChocolateBar 2 + Flour 15 + Sugar 30 + Egg 18   [25 с, группа BarsAndCookies]
FoodMealCornInButter ← FoodCorn 1 + FoodPlate 1 + FoodButterSlice 1   [10 с, группа Savory]
FoodSoupPea ← FoodPeaPod 3 + FoodBowlBig 1 + Water 20   [10 с, группа Soup]
FoodTacoShell ← FoodDoughTortillaFlat 1   [5 с, группа Breads]
FoodTacoBeef ← FoodTacoShell 1 + FoodMeatCutlet 1 + FoodCheeseSlice 1   [10 с, группа Savory]
FoodTacoChicken ← FoodTacoShell 1 + FoodMeatChickenCutlet 1 + FoodCheeseSlice 1   [10 с, группа Savory]
FoodTacoFish ← FoodTacoShell 1 + FoodMeatFish 1 + FoodOnionSlice 2 + FoodTomato 1 + FoodCabbage 1   [10 с, группа Savory]
FoodTacoRat ← FoodTacoShell 1 + FoodCheeseSlice 1 + FoodMeatRat 1   [10 с, группа Savory]
FoodTacoBeefSupreme ← FoodTacoShell 1 + FoodCheeseSlice 1 + FoodMeatCutlet 1 + FoodTomato 1 + FoodCabbage 1 + FoodOnionSlice 2   [10 с, группа Savory]
FoodTacoChickenSupreme ← FoodTacoShell 1 + FoodCheeseSlice 1 + FoodMeatChickenCutlet 1 + FoodTomato 1 + FoodCabbage 1 + FoodOnionSlice 2   [10 с, группа Savory]
FoodTacoDragon ← FoodTacoShell 1 + FoodMeatDragonCutlet 2 + FoodChiliPepper 1   [10 с, группа Savory]
FoodBakedCroissant ← FoodCroissantRaw 1 + FoodButterSlice 1   [5 с, группа Dessert]
FoodBakedCroissantCotton ← FoodCroissantRawCotton 1 + FoodButterSlice 1   [5 с, группа Moth]
WeaponCroissant ← FoodCroissantRaw 1 + FoodButterSlice 1 + ShardGlass 1   [5 с, группа Secret]
FoodMeatAnomaly ← AnomalyCoreFleshInert 1   [5 с, группа Savory]
FoodMeatAnomaly ← AnomalyCoreFlesh 1   [5 с, группа Savory]
FoodMeatAnomalyCooked ← FoodMeatAnomaly 1   [5 с, группа Savory]
FoodBakedGrilledCheeseSandwich ← FoodBreadPlainSlice 2 + FoodCheeseSlice 1 + FoodButterSlice 1   [10 с, группа Savory]
FoodBakedGrilledCheeseSandwichCotton ← FoodBreadCottonSlice 2 + FoodCheeseSlice 1 + FoodButterSlice 1   [10 с, группа Moth]
FoodBreakfastAmerican ← FoodMeatBacon 2 + FoodPotato 1 + FoodBakedPancake 2 + Egg 12   [30 с, группа Savory]
FoodBreakfastEnglish ← FoodMeatBacon 1 + FoodMeat 1 + FoodTomato 1 + FoodSoybeans 2 + Egg 12   [30 с, группа Savory]
MobMoproach ← MobMothroach 1 + OrganAnimalHeart 1 + MoproachShoes 1 + SpaceCleaner 15   [30 с, группа Other]
FoodCakeCotton ← FoodCakePlain 1 + Fiber 10   [5 с, группа Moth]

## medical_recipes
AloeCream ← FoodAloe 1   [10 с, группа Medicinal]
MedicatedSuture ← FoodPoppy 1 + Brutepack 1 + MaterialCloth1 1 + TranexamicAcid 20 + Cryptobiolin 20   [10 с, группа Medicinal]
RegenerativeMesh ← FoodAloe 1 + Ointment 1 + MaterialCloth1 1 + Sigynate 20 + Dermaline 20   [10 с, группа Medicinal]

